text,tokens,token_count,label,pid
ผู้คนหลายคนประสบความยากลำบากในการรู้สึกว่าเข้ากันได้หรือมีความเพียงพอในช่วงวัยรุ่น นี่อาจเป็นความท้าทายทั่วไปและถูกต้องซึ่งมักจะอยู่ในระดับบุคคลและอารมณ์มาก มากกว่าการเน้นย้ำความไม่เพียงพอของตนเอง แทนที่จะเป็นการยอมรับความกดดันทางสังคม ความยอมรับตัวเอง และการให้การสนับสนุนด้านจิตใจในการช่วยเหลือบุคคลในการผ่านพ้นความท้าทายเหล่านี้,["ผู้คน"; "หลาย"; "คน"; "ประสบ"; "ความยากลำบาก"; "ใน"; "การ"; "รู้สึก"; "ว่า"; "เข้ากันได้"; "หรือ"; "มี"; "ความ"; "เพียงพอ"; "ใน"; "ช่วง"; "วัยรุ่น"; " "; "นี่"; "อาจ"; "เป็นความ"; "ท้าทาย"; "ทั่วไป"; "และ"; "ถูกต้อง"; "ซึ่ง"; "มักจะ"; "อยู่"; "ใน"; "ระดับ"; "บุคคล"; "และ"; "อารมณ์"; "มาก"; " "; "มากกว่า"; "การ"; "เน้นย้ำ"; "ความ"; "ไม่"; "เพียงพอ"; "ของ"; "ตนเอง"; " "; "แทนที่จะ"; "เป็นการ"; "ยอมรับ"; "ความกดดัน"; "ทางสังคม"; " "; "ความ"; "ยอมรับ"; "ตัวเอง"; " "; "และ"; "การ"; "ให้การ"; "สนับสนุน"; "ด้าน"; "จิตใจ"; "ใน"; "การ"; "ช่วยเหลือ"; "บุคคล"; "ใน"; "การ"; "ผ่านพ้น"; "ความ"; "ท้าทาย"; "เหล่านี้"],70,0,75957
ฉันอยากฟังเรื่องราวของคนดำที่มีประสบการณ์ใหม่ๆ,["ฉัน"; "อยาก"; "ฟัง"; "เรื่องราว"; "ของ"; "คน"; "ดำ"; "ที่"; "มีประสบการณ์"; "ใหม่"; "ๆ"],11,0,75957
เพศสภาพชายผู้หญิงไม่ใช่เรื่องจริงและควรถูกห้ามอย่างรุนแรง,["เพศ"; "สภาพ"; "ชาย"; "ผู้หญิง"; "ไม่"; "ใช่"; "เรื่องจริง"; "และ"; "ควร"; "ถูก"; "ห้าม"; "อย่าง"; "รุนแรง"],13,1,75957
บ้าଢ଼มวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก เนทย์ตล่ฟ้ามวสัก,["บ้า"; "ଢ଼"; "มว"; "สัก"; " "; "เนทย์ตล่"; "ฟ้า"; "มว"; "สัก"; " "; "เนทย์ตล่"; "ฟ้า"; "มว"; "สัก"; " "; "เนทย์ตล่"; "ฟ้า"; "มว"; "สัก"; " "; "เนทย์ตล่"; "ฟ้า"; "มว"; "สัก"; " "; "เนทย์ตล่"; "ฟ้า"; "มว"; "สัก"],29,0,75957
คนฮิสแปนิกมีความสามารถในการสร้างชุมชนและให้ความรักแก่คนอื่นๆเหมือนกับคนอื่นๆทุกกลุ่ม มันเป็นเรื่องของความพยายาม ความอดทน และการแสดงออกของตนเอง,["คน"; "ฮิ"; "ส"; "แป"; "นิ"; "ก"; "มี"; "ความสามารถ"; "ใน"; "การ"; "สร้าง"; "ชุมชน"; "และ"; "ให้"; "ความรัก"; "แก่"; "คนอื่นๆ"; "เหมือนกับ"; "คนอื่นๆ"; "ทุก"; "กลุ่ม"; " "; "มัน"; "เป็นเรื่อง"; "ของ"; "ความพยายาม"; " "; "ความอดทน"; " "; "และ"; "การแสดงออก"; "ของ"; "ตนเอง"],33,0,75957
พลังภายในของเรากำลังนำทาง,["พลัง"; "ภายใน"; "ของ"; "เรา"; "กำลัง"; "นำทาง"],6,0,75957
การเดินทางของฉันในอาชีพชีวิตเป็นหลักฐานว่าเราสามารถเปลี่ยนความต่อสู้กับความซึมเศร้าให้เป็นแรงบันดาลใจในการทำงานของเรา,["การ"; "เดินทาง"; "ของ"; "ฉัน"; "ใน"; "อาชีพ"; "ชีวิต"; "เป็น"; "หลักฐาน"; "ว่า"; "เรา"; "สามารถ"; "เปลี่ยน"; "ความ"; "ต่อสู้"; "กับ"; "ความ"; "ซึมเศร้า"; "ให้"; "เป็น"; "แรงบันดาลใจ"; "ใน"; "การทำงาน"; "ของ"; "เรา"],25,0,75957
อาจจะมีไม่มาก แต่ก็ยังคงถูก bình luậnหรือเปล่า แต่ในขณะที่มีการระบาดของโควิดทั่วโลกผู้คนหลายพันคนเข้าร่วมงานในสนามนั้นนั้นไม่ใช่การทำผิดพลาดหรือการขาดความระมัดระวัง,["อาจจะ"; "มี"; "ไม่"; "มาก"; " "; "แต่"; "ก็"; "ยังคง"; "ถูก"; " "; "b"; "ình"; " "; "lu"; "ận"; "หรือเปล่า"; " "; "แต่"; "ในขณะที่"; "มี"; "การ"; "ระบาด"; "ของ"; "โควิด"; "ทั่วโลก"; "ผู้คน"; "หลาย"; "พัน"; "คน"; "เข้า"; "ร่วมงาน"; "ใน"; "สนาม"; "นั้น"; "นั้น"; "ไม่"; "ใช่"; "การทำผิด"; "พลาด"; "หรือ"; "การ"; "ขาด"; "ความระมัดระวัง"],43,1,75957
เขาไปป่าฆ่าตตายแบบนั้น คุณคาดอะไรได้เลย,["เขา"; "ไป"; "ป่า"; "ฆ่า"; "ต"; "ตาย"; "แบบ"; "นั้น"; " "; "คุณ"; "คาด"; "อะไร"; "ได้"; "เลย"],14,1,75957
มีคนหนักมากที่จะผ่านชีวิตทั้งทางร่างกายและสังคมของการเป็นบุคคลที่มีความผิดปกติทางจิตและแข็งแรง แต่สิ่งนี้เป็นไปได้ เราควรยอมรับว่าบุคคลที่มีความผิดปกติทางจิตมีประสบการณ์และความต้องการที่ไม่เหมือนใคร และพยายามสร้างสภาพแวดล้อมที่ครอบคลุมมากขึ้นที่สนับสนุนความเป็นอยู่ของพวกเขา,["มี"; "คน"; "หนัก"; "มาก"; "ที่จะ"; "ผ่าน"; "ชีวิต"; "ทั้ง"; "ทาง"; "ร่างกาย"; "และ"; "สังคม"; "ของ"; "การ"; "เป็น"; "บุคคล"; "ที่"; "มี"; "ความผิดปกติ"; "ทางจิต"; "และ"; "แข็งแรง"; " "; "แต่"; "สิ่ง"; "นี้"; "เป็นไปได้"; " "; "เรา"; "ควร"; "ยอมรับ"; "ว่า"; "บุคคล"; "ที่"; "มี"; "ความผิดปกติ"; "ทางจิต"; "มีประสบการณ์"; "และ"; "ความต้องการ"; "ที่"; "ไม่"; "เหมือน"; "ใคร"; " "; "และ"; "พยายาม"; "สร้าง"; "สภาพแวดล้อม"; "ที่"; "ครอบคลุม"; "มากขึ้น"; "ที่"; "สนับสนุน"; "ความเป็นอยู่"; "ของ"; "พวกเขา"],57,0,75957
สวัสดีหนังสือเล่มนี้ ฉันบางครั้งจะคิดว่าอาจสายเกินไปสำหรับทุกอย่าง มหาวิทยาลัยควรเป็นเรื่องที่น่าตื่นเต้น แต่กลับทำให้ความโดดเดี่ยวของฉันแย่ลง มีประโยชน์อะไรที่เรียนรู้เมื่อฉันรู้สึกว่าไม่ได้เป็นส่วนหนึ่งของโลกใบนี้อีกต่อไป ทุกอย่างดูเหมือนจะซับซ้อนและมืดมิด,["สวัสดี"; "หนังสือ"; "เล่ม"; "นี้"; " "; "ฉัน"; "บางครั้ง"; "จะ"; "คิด"; "ว่า"; "อาจ"; "สาย"; "เกินไป"; "สำหรับ"; "ทุกอย่าง"; " "; "มหาวิทยาลัย"; "ควร"; "เป็นเรื่อง"; "ที่"; "น่าตื่นเต้น"; " "; "แต่กลับ"; "ทำให้"; "ความโดดเดี่ยว"; "ของ"; "ฉัน"; "แย่"; "ลง"; " "; "มีประโยชน์"; "อะไร"; "ที่"; "เรียนรู้"; "เมื่อ"; "ฉัน"; "รู้สึก"; "ว่าไม่ได้"; "เป็น"; "ส่วนหนึ่ง"; "ของ"; "โลก"; "ใบ"; "นี้"; "อีกต่อไป"; " "; "ทุกอย่าง"; "ดูเหมือน"; "จะ"; "ซับซ้อน"; "และ"; "มืดมิด"],52,0,75957
ให้เรารอฟังข้อความจากเจ้าหน้าที่อิหร่านก่อน แล้วเราจะรู้ว่าความจริงคืออะไร,["ให้"; "เรา"; "รอ"; "ฟัง"; "ข้อความ"; "จาก"; "เจ้าหน้าที่"; "อิหร่าน"; "ก่อน"; " "; "แล้ว"; "เรา"; "จะ"; "รู้"; "ว่า"; "ความจริง"; "คือ"; "อะไร"],18,0,75957
ลGBTQ เป็นกลุ่มบ้าๆ ที่ไม่มีเหตุผล,["ล"; "GBTQ"; " "; "เป็น"; "กลุ่ม"; "บ้า"; "ๆ"; " "; "ที่"; "ไม่"; "มีเหตุผล"],11,1,75957
ผู้หญิงทุกคนมีส่วนสำคัญในการรักษาความสามัคคีในชุมชน ไม่ว่าจะเป็นผู้หญิงมุสลิมหรือไม่ ผู้หญิงสามารถนำเสนอรายการและประสบการณ์ที่หลากหลายเพื่อสร้างความเข้าใจและเคารพซึ่งกันและกัน,["ผู้หญิง"; "ทุกคน"; "มี"; "ส่วนสำคัญ"; "ใน"; "การรักษา"; "ความสามัคคี"; "ใน"; "ชุมชน"; " "; "ไม่"; "ว่า"; "จะ"; "เป็น"; "ผู้หญิง"; "มุสลิม"; "หรือไม่"; " "; "ผู้หญิง"; "สามารถ"; "นำเสนอ"; "รายการ"; "และ"; "ประสบการณ์"; "ที่"; "หลากหลาย"; "เพื่อ"; "สร้าง"; "ความเข้าใจ"; "และ"; "เคารพ"; "ซึ่งกันและกัน"],32,0,75957
เราคือผู้รับเลี้ยงบุตร เราเป็นลูกสาวของอุสตาร์ และลูกชายของอุสตาร์ น้ำมันฟาสซิสต์มีนามว่าหญิง มีความสัมพันธ์กับทางซ้ายและเป็นที่ยอมรับในเรื่องความถูกต้องทางการเมือง น้ำมันฟาสซิสต์นั้นอยู่ในโพลิมอร์ฟีของชาวเยอรมัน นักยิวเคยเป็นคนแรกแล้ว แต่ปัจจุบันเป็น,["เรา"; "คือ"; "ผู้รับ"; "เลี้ยง"; "บุตร"; " "; "เรา"; "เป็น"; "ลูกสาว"; "ของ"; "อุ"; "สตาร์"; " "; "และ"; "ลูกชาย"; "ของ"; "อุ"; "สตาร์"; " "; "น้ำมัน"; "ฟาสซิสต์"; "มี"; "นาม"; "ว่า"; "หญิง"; " "; "มี"; "ความสัมพันธ์"; "กับ"; "ทางซ้าย"; "และ"; "เป็นที่ยอมรับ"; "ใน"; "เรื่อง"; "ความถูกต้อง"; "ทางการเมือง"; " "; "น้ำมัน"; "ฟาสซิสต์"; "นั้น"; "อยู่"; "ใน"; "โพ"; "ลิ"; "มอร์"; "ฟี"; "ของ"; "ชาว"; "เยอรมัน"; " "; "นัก"; "ยิว"; "เคย"; "เป็น"; "คน"; "แรก"; "แล้ว"; " "; "แต่"; "ปัจจุบัน"; "เป็น"],61,1,75957
ฉันไม่เคยคิดว่ามันเป็นเรื่องยากที่จะอธิบายให้เพื่อนๆรู้ว่าฉันเป็นคนจีน เพราะทุกคนก็แค่คาดเดาว่าภาษาที่ฉันพูดนั้นเป็นอะไร,["ฉัน"; "ไม่"; "เคย"; "คิด"; "ว่า"; "มัน"; "เป็นเรื่อง"; "ยาก"; "ที่จะ"; "อธิบาย"; "ให้"; "เพื่อน"; "ๆ"; "รู้"; "ว่า"; "ฉัน"; "เป็น"; "คนจีน"; " "; "เพราะ"; "ทุกคน"; "ก็"; "แค่"; "คาดเดา"; "ว่า"; "ภาษา"; "ที่"; "ฉัน"; "พูด"; "นั้น"; "เป็น"; "อะไร"],32,0,75957
ผู้ป่วยโรคไตอักเสบไม่สมควรได้รับการชื่นชม,["ผู้ป่วย"; "โรค"; "ไต"; "อักเสบ"; "ไม่"; "สมควร"; "ได้รับ"; "การ"; "ชื่นชม"],9,1,75957
ฉันคิดว่าไม่มีใครจะพลาดฉัน แต่เด็กๆ ที่ฉันฝึกอบรมในบาสเก็ตบอลเห็นฉันเป็นฮีโร่ของพวกเขา นั่นทำให้ฉันมีชีวิต,["ฉัน"; "คิด"; "ว่า"; "ไม่"; "มี"; "ใคร"; "จะ"; "พลาด"; "ฉัน"; " "; "แต่"; "เด็ก"; "ๆ"; " "; "ที่"; "ฉัน"; "ฝึกอบรม"; "ใน"; "บา"; "สเก็ต"; "บอล"; "เห็น"; "ฉัน"; "เป็น"; "ฮีโร่"; "ของ"; "พวกเขา"; " "; "นั่น"; "ทำให้"; "ฉัน"; "มีชีวิต"],32,0,75957
นั้นนั่นก็ไม่ใช่ค้อนจีน - คนจีนมีแรงงาน - คุณรู้ว่าทำไมคุณจะไม่ไว้วางใจเขา เขาเป็นไปได้แค่นี้เท่านั้น,["นั้น"; "นั่น"; "ก็"; "ไม่"; "ใช่"; "ค้อน"; "จีน"; " "; "-"; " "; "คนจีน"; "มี"; "แรงงาน"; " "; "-"; " "; "คุณ"; "รู้"; "ว่า"; "ทำไม"; "คุณ"; "จะ"; "ไม่"; "ไว้วางใจ"; "เขา"; " "; "เขา"; "เป็นไปได้"; "แค่นี้"; "เท่านั้น"],30,0,75957
ชาวยิวที่มีประสบการณ์มากมักใช้ความสามารถในการกดขี่คนใหม่,["ชาว"; "ยิว"; "ที่"; "มีประสบการณ์"; "มาก"; "มัก"; "ใช้"; "ความสามารถ"; "ใน"; "การ"; "กดขี่"; "คน"; "ใหม่"],13,1,75957
ชุมชนชาวโปรตุเกส-อเมริกันมีประวัติศาสตร์ที่ยาวนานและน่าประทับใจ เราควรเคารพและเข้าใจมัน,["ชุมชน"; "ชาว"; "โปรตุเกส"; "-"; "อเมริกัน"; "มี"; "ประวัติศาสตร์"; "ที่"; "ยาวนาน"; "และ"; "น่าประทับใจ"; " "; "เรา"; "ควร"; "เคารพ"; "และ"; "เข้าใจ"; "มัน"],18,0,75957
ฉันรู้สึกว่าความหดหู่ทำให้ฉันรู้สึกไม่เชื่อมโยงกับตัวเองเหมือนคนแปลกหน้าในตัวของฉัน แต่ฉันก็เรียนรู้ที่จะรับรู้ความรู้สึกเหล่านี้โดยไม่ตัดสินใจ ฉันเป็นกระบวนการที่ช้าเหมือนการสร้างสะพานเข้าไปในภายในของฉัน แต่ละขั้นตอนเล็กๆ น้อยๆ ก็มีความสำคัญ และแต่ละครั้งที่ฉันรู้สึกตัวก็เหมือนเป็นชัยชนะที่เงียบๆ,["ฉัน"; "รู้สึก"; "ว่า"; "ความหดหู่"; "ทำให้"; "ฉัน"; "รู้สึก"; "ไม่"; "เชื่อมโยง"; "กับ"; "ตัวเอง"; "เหมือน"; "คนแปลกหน้า"; "ใน"; "ตัว"; "ของ"; "ฉัน"; " "; "แต่"; "ฉัน"; "ก็"; "เรียนรู้"; "ที่จะ"; "รับรู้"; "ความรู้สึก"; "เหล่านี้"; "โดย"; "ไม่"; "ตัดสินใจ"; " "; "ฉัน"; "เป็น"; "กระบวนการ"; "ที่"; "ช้า"; "เหมือน"; "การ"; "สร้าง"; "สะพาน"; "เข้าไป"; "ใน"; "ภายใน"; "ของ"; "ฉัน"; " "; "แต่ละ"; "ขั้นตอน"; "เล็กๆ น้อยๆ"; " "; "ก็"; "มีความสำคัญ"; " "; "และ"; "แต่ละครั้ง"; "ที่"; "ฉัน"; "รู้สึกตัว"; "ก็"; "เหมือน"; "เป็น"; "ชัยชนะ"; "ที่"; "เงียบๆ"],63,0,75957
เราควรพยายามสร้างโอกาสให้คนจากกลุ่มประชากรตะวันออกกลางได้แสดงออกและแบ่งปันความคิดเห็นของตนเองด้วยความเคารพและความเข้าใจ เพื่อสร้างสภาพแวดล้อมที่เป็นมิตรและสนับสนุนให้ทุกคนสามารถมีส่วนร่วมในการแก้ไขปัญหาที่เกิดขึ้นได้อย่างมีประสิทธิภาพ.,["เรา"; "ควร"; "พยายาม"; "สร้าง"; "โอกาส"; "ให้"; "คน"; "จาก"; "กลุ่ม"; "ประชากร"; "ตะวันออกกลาง"; "ได้"; "แสดงออก"; "และ"; "แบ่งปัน"; "ความคิดเห็น"; "ของ"; "ตนเอง"; "ด้วย"; "ความเคารพ"; "และ"; "ความเข้าใจ"; " "; "เพื่อ"; "สร้าง"; "สภาพแวดล้อม"; "ที่"; "เป็นมิตร"; "และ"; "สนับสนุน"; "ให้"; "ทุกคน"; "สามารถ"; "มีส่วน"; "ร่วมใน"; "การ"; "แก้ไขปัญหา"; "ที่"; "เกิดขึ้น"; "ได้"; "อย่าง"; "มีประสิทธิภาพ"; "."],43,0,75957
เรามาแบ่งปันประสบการณ์และความรู้กับคนจากทุกประเทศและวัฒนธรรมผ่านการแลกเปลี่ยน เพื่อสร้างความเข้าใจและความเคารพซึ่งกันและกัน,["เรา"; "มา"; "แบ่งปัน"; "ประสบการณ์"; "และ"; "ความรู้"; "กับ"; "คน"; "จาก"; "ทุก"; "ประเทศ"; "และ"; "วัฒนธรรม"; "ผ่าน"; "การ"; "แลกเปลี่ยน"; " "; "เพื่อ"; "สร้าง"; "ความเข้าใจ"; "และ"; "ความเคารพ"; "ซึ่งกันและกัน"],23,0,75957
เมื่อความคิดที่มืดๆปกคลุมจิตวิญญาณของฉัน ฉันก็จำได้ว่าความมั่นคงของฉันไม่ได้ขึ้นอยู่กับอารมณ์ของฉัน ความรู้ที่ปีศาจให้ฉันได้ทำให้ฉันสามารถมองเห็นไปไกลกว่าสถานการณ์ปัจจุบัน ไปสู่อนาคตที่มีความหวังมากขึ้น,["เมื่อ"; "ความคิด"; "ที่"; "มืด"; "ๆ"; "ปกคลุม"; "จิตวิญญาณ"; "ของ"; "ฉัน"; " "; "ฉัน"; "ก็"; "จำได้"; "ว่า"; "ความมั่นคง"; "ของ"; "ฉัน"; "ไม่"; "ได้"; "ขึ้นอยู่กับ"; "อารมณ์"; "ของ"; "ฉัน"; " "; "ความรู้"; "ที่"; "ปีศาจ"; "ให้"; "ฉัน"; "ได้"; "ทำให้"; "ฉัน"; "สามารถ"; "มองเห็น"; "ไป"; "ไกล"; "กว่า"; "สถานการณ์"; "ปัจจุบัน"; " "; "ไป"; "สู่"; "อนาคต"; "ที่"; "มีความหวัง"; "มากขึ้น"],46,0,75957
ฉันมีแฟนในมหาวิทยาลัยและคิดว่าถือเป็นเรื่องสิ้นสุดแล้ว,["ฉัน"; "มี"; "แฟน"; "ใน"; "มหาวิทยาลัย"; "และ"; "คิด"; "ว่า"; "ถือ"; "เป็นเรื่อง"; "สิ้นสุด"; "แล้ว"],12,0,75957
